Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000198062	POTEH	22	+	15690026	15721631	0.061055	3.349731	5.008865
ENSG00000236666	POTEH-AS1	22	-	15699361	15703403	0.000000	0.000000	0.000000
ENSG00000212216	RNU6-816P	22	+	15701459	15701565	0.000000	0.000000	0.000000
ENSG00000241838	LA16c-3G11.7	22	+	15721486	15722608	0.000000	0.000000	0.000000
ENSG00000206195	DUXAP8	22	+	15784959	15829984	0.162358	16.906828	25.280844
ENSG00000271127	LL22NC03-N64E9.1	22	+	15796959	15798346	0.000000	0.000000	0.000000
ENSG00000232775	BMS1P22	22	-	15805263	15820884	0.000000	0.000000	0.000000
ENSG00000272872	LL22NC03-N14H11.1	22	+	15823197	15823890	0.000000	0.000000	0.000000
ENSG00000271672	DUXAP8	22	+	15826566	15827187	0.036533	1.716759	2.567076
ENSG00000237689	AC007064.24	22	+	16869478	16871126	0.534000	25.093725	37.522743
ENSG00000100181	TPTEP1	22	+	16601887	16698742	0.129570	32.892567	49.184376
ENSG00000283633	AC005301.9	22	+	16601911	16615111	0.103549	5.922872	8.856492
ENSG00000267338	KB-7G2.9	22	+	16616170	16617114	0.119048	5.594304	8.365183
ENSG00000249288	SLC25A15P5	22	-	16645695	16646581	0.000000	0.000000	0.000000
ENSG00000249263	PARP4P3	22	-	16653892	16659628	0.000000	0.000000	0.000000
ENSG00000189295	ANKRD62P1-PARP4P3	22	-	16654066	16675540	0.000000	0.000000	0.000000
ENSG00000259271	ANKRD62P1	22	-	16671090	16679493	0.000000	0.000000	0.000000
ENSG00000273244	KB-7G2.8	22	-	16676016	16694648	0.000000	0.000000	0.000000
ENSG00000241717	VWFP1	22	-	16690103	16704477	0.190918	8.971619	13.415295
ENSG00000273203	AC006946.16	22	+	17067821	17070675	0.229422	10.780998	16.120867
ENSG00000273442	AC006946.17	22	+	17080701	17081456	0.455026	21.382582	31.973454
ENSG00000237438	CECR7	22	+	17036570	17060825	0.962722	110.488525	165.213913
ENSG00000280156	AC006548.28	22	-	16950086	17034417	0.001506	0.070770	0.105823
ENSG00000215568	GAB4	22	-	16961936	17008222	0.000000	0.000000	0.000000
ENSG00000270226	AC006548.26	22	+	17012404	17012932	0.000000	0.000000	0.000000
ENSG00000276400	VN1R9P	22	-	17021398	17022570	0.000000	0.000000	0.000000
ENSG00000183307	CECR6	22	-	17116299	17121367	0.958177	46.071892	68.891479
ENSG00000235478	AC006946.15	22	+	17121586	17132104	0.000000	0.000000	0.000000
ENSG00000177663	IL17RA	22	+	17084954	17115694	1.055113	66.052330	98.768295
ENSG00000235328	AC006946.12	22	-	17093612	17093939	0.000000	0.000000	0.000000
ENSG00000241832	CECR3	22	-	17256859	17266733	0.000000	0.000000	0.000000
ENSG00000069998	CECR5	22	-	17137511	17165287	1.079011	129.791107	194.077118
ENSG00000185837	CECR5-AS1	22	+	17159384	17165445	0.000000	0.000000	0.000000
ENSG00000093072	CECR1	22	-	17178790	17221989	0.816379	49.439579	73.927185
ENSG00000236325	AC005300.5	22	+	17192936	17193308	0.000000	0.000000	0.000000
ENSG00000203416	FAM32BP	22	+	17213516	17214155	0.000000	0.000000	0.000000
ENSG00000099954	CECR2	22	+	17359949	17558149	0.168194	115.769348	173.110336
ENSG00000229492	AC004019.10	22	+	17418697	17419828	0.088339	4.151226	6.207344
ENSG00000232305	CLCP1	22	-	17424388	17424775	0.000000	0.000000	0.000000
ENSG00000228045	DNAJA1P6	22	-	17518676	17519029	0.000000	0.000000	0.000000
