id	feature	fc	pval	qval	gene_name	FPKM.UHR_Rep1	FPKM.UHR_Rep2	FPKM.UHR_Rep3	FPKM.HBR_Rep1	FPKM.HBR_Rep2	FPKM.HBR_Rep3
ENSG00000008735	gene	0.0141137030024001	0.000192991798025455	0.00307658448788992	MAPK8IP2	9.73328025402474	19.2578222030164	6.98853659684799	565.891856273513	617.562227950347	615.017047919505
ENSG00000015475	gene	1.57304800786475	0.00561692017417603	0.0259002430253673	BID	101.648194322762	92.5127309887539	118.967512767431	77.8829237424651	65.1786430303644	86.09917001417
ENSG00000025708	gene	1.4002449043526	0.382636498277998	0.561110059312258	TYMP	65.1504660960843	35.5878017328313	39.0739550457831	32.9463741671687	27.5146234144578	47.138452364759
ENSG00000025770	gene	1.47840787281768	0.024854621011926	0.0793435978457639	NCAPH2	302.197952470085	253.872391516619	272.718776193416	215.458903330168	180.719090670149	189.579531191516
ENSG00000040608	gene	0.103823132389127	0.000415959862746673	0.00480992156247208	RTN4R	23.6746173884397	18.6628070041929	16.8523780772686	185.146074113507	187.676849171309	191.866407498652
ENSG00000054611	gene	1.08915395790694	0.232733573217018	0.403275293883351	TBC1D22A	60.5880207213547	56.2257156344309	66.8954804489181	56.5799100124177	61.2054281557855	59.6970767586077
ENSG00000056487	gene	0.727599295471351	0.454442890914919	0.630748494079235	PHF21B	9.1135558126195	13.4267408863202	8.80677701373197	17.3704829986094	13.730260685903	6.71430366713019
ENSG00000069998	gene	2.57656728938198	0.00682306212956596	0.0293427024224857	CECR5	111.688489946515	98.6189292797812	144.283127887156	44.875696042342	55.2857657463533	50.7049037743112
ENSG00000070010	gene	2.18391223383469	0.000992707198555598	0.00777308466793534	UFD1L	119.44135893647	122.397484155678	102.6702051606	42.5771207247024	51.1785292213828	48.3878763658425
ENSG00000070371	gene	1.52019930211298	0.0029384363149495	0.0163684707477053	CLTCL1	39.5940892002189	36.1406077661459	35.8917810576177	23.1987161641954	24.2431448524231	24.1249749958205
ENSG00000070413	gene	0.584798479791959	0.0059554677969722	0.0268461965574033	DGCR2	244.504690141659	195.495845545763	246.746203882426	453.129741500624	417.151819027475	410.368863914897
ENSG00000073146	gene	0.173164796909294	0.0726256188466331	0.169693837773329	MOV10L1	0	3.53090530267753	0.203895052386496	4.48824778114086	6.33446278899884	1.27191027939465
ENSG00000073150	gene	0.0789293974016849	0.00040285281755259	0.00480992156247208	PANX2	9.91769408317215	13.3205263346228	11.5800046015474	140.047677497743	147.474486232108	175.106533034172
ENSG00000073169	gene	0.903842926942695	0.769183222156217	0.881825504997597	SELO	136.129204676259	94.232898962336	141.808877364791	180.373553195091	175.837355271265	100.702802976725
ENSG00000075218	gene	75.6885931736498	0.00525953323146888	0.0246633479215772	GTSE1	144.122963993164	146.352580791608	133.355625983498	3.33252723620933	0	2.21554665723715
