Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000206195	DUXAP8	22	+	15784959	15829984	0.050135	10.348891	15.710046
ENSG00000271127	LL22NC03-N64E9.1	22	+	15796959	15798346	0.144092	6.025337	9.146710
ENSG00000232775	BMS1P22	22	-	15805263	15820884	0.000000	0.000000	0.000000
ENSG00000272872	LL22NC03-N14H11.1	22	+	15823197	15823890	0.531700	22.233515	33.751396
ENSG00000271672	DUXAP8	22	+	15826566	15827187	0.000000	0.000000	0.000000
ENSG00000237689	AC007064.24	22	+	16869478	16871126	0.000000	0.000000	0.000000
ENSG00000237438	CECR7	22	+	17036570	17060825	0.813609	84.648010	128.499176
ENSG00000273442	AC006946.17	22	+	17080701	17081456	0.314815	13.164273	19.983910
ENSG00000273203	AC006946.16	22	+	17067821	17070675	0.339405	14.192525	21.544842
ENSG00000100181	TPTEP1	22	+	16601887	16698742	0.141265	36.530537	55.454868
ENSG00000283633	AC005301.9	22	+	16601911	16615111	0.295569	26.102446	39.624596
ENSG00000267338	KB-7G2.9	22	+	16616170	16617114	0.000000	0.000000	0.000000
ENSG00000249288	SLC25A15P5	22	-	16645695	16646581	0.000000	0.000000	0.000000
ENSG00000249263	PARP4P3	22	-	16653892	16659628	0.000000	0.000000	0.000000
ENSG00000189295	ANKRD62P1-PARP4P3	22	-	16654066	16675540	0.000000	0.000000	0.000000
ENSG00000259271	ANKRD62P1	22	-	16671090	16679493	0.000000	0.000000	0.000000
ENSG00000273244	KB-7G2.8	22	-	16676016	16694648	0.000000	0.000000	0.000000
ENSG00000241717	VWFP1	22	-	16690103	16704477	0.000000	0.000000	0.000000
ENSG00000183307	CECR6	22	-	17116299	17121367	1.524758	65.239197	99.035805
ENSG00000235478	AC006946.15	22	+	17121586	17132104	0.000000	0.000000	0.000000
ENSG00000280156	AC006548.28	22	-	16950086	17034417	0.001470	0.061469	0.093313
ENSG00000215568	GAB4	22	-	16961936	17008222	0.000000	0.000000	0.000000
ENSG00000270226	AC006548.26	22	+	17012404	17012932	0.000000	0.000000	0.000000
ENSG00000276400	VN1R9P	22	-	17021398	17022570	0.000000	0.000000	0.000000
ENSG00000177663	IL17RA	22	+	17084954	17115694	1.125277	52.763550	80.097260
ENSG00000235328	AC006946.12	22	-	17093612	17093939	0.000000	0.000000	0.000000
ENSG00000069998	CECR5	22	-	17137511	17165287	1.322123	101.022652	153.356567
ENSG00000185837	CECR5-AS1	22	+	17159384	17165445	0.000000	0.000000	0.000000
ENSG00000093072	CECR1	22	-	17178790	17221989	0.720345	39.076122	59.319172
ENSG00000236325	AC005300.5	22	+	17192936	17193308	0.000000	0.000000	0.000000
ENSG00000203416	FAM32BP	22	+	17213516	17214155	0.513514	21.473049	32.596977
ENSG00000099954	CECR2	22	+	17359949	17558149	0.116349	77.101120	117.042686
ENSG00000229492	AC004019.10	22	+	17418697	17419828	0.530035	22.163891	33.645702
ENSG00000232305	CLCP1	22	-	17424388	17424775	0.000000	0.000000	0.000000
ENSG00000228045	DNAJA1P6	22	-	17518676	17519029	0.000000	0.000000	0.000000
ENSG00000182902	SLC25A18	22	+	17563439	17590994	3.765661	373.632294	567.189270
ENSG00000236754	AC004019.13	22	-	17580157	17589192	0.000000	0.000000	0.000000
ENSG00000131100	ATP6V1E1	22	-	17592136	17628818	22.219336	2200.085449	3339.820801
ENSG00000099968	BCL2L13	22	+	17628855	17730855	1.208419	476.378296	723.161987
ENSG00000015475	BID	22	-	17734138	17774770	1.558705	116.290489	176.533752
ENSG00000264757	MIR3198-1	22	-	17764180	17764259	0.000000	0.000000	0.000000
ENSG00000184979	USP18	22	+	18149899	18177397	0.449742	18.806366	28.548843
ENSG00000276160	GGTLC5P	22	+	18340145	18345899	0.000000	0.000000	0.000000
ENSG00000278558	TMEM191B	22	+	18527802	18530573	0.243913	11.178267	16.969074
ENSG00000274602	PI4KAP1	22	-	18533646	18577968	0.895263	94.488136	143.436890
ENSG00000225335	XXbac-B476C20.9	22	-	18076527	18078884	0.253553	21.436712	32.541817
ENSG00000215193	PEX26	22	+	18077920	18131138	1.413385	102.969559	156.312057
ENSG00000236890	XXbac-B476C20.11	22	-	18081466	18081675	0.000000	0.000000	0.000000
ENSG00000235617	XXbac-B476C20.10	22	+	18101612	18101888	0.000000	0.000000	0.000000
ENSG00000225225	ARL2BPP10	22	-	18102457	18103649	0.000000	0.000000	0.000000
ENSG00000183785	TUBA8	22	+	18110331	18146554	1.207820	423.204834	642.442444
ENSG00000280007	AC008079.10	22	-	18110759	18131154	0.066320	2.773231	4.209878
ENSG00000222630	RN7SKP131	22	-	18605802	18606102	0.000000	0.000000	0.000000
ENSG00000275793	RIMBP3	22	-	18605815	18611919	0.081300	3.399633	5.160783
ENSG00000161103	AC008132.13	22	+	18846811	18861049	0.002878	0.727555	1.104458
ENSG00000215544	BCRP7	22	-	18855621	18858640	0.000000	0.000000	0.000000
ENSG00000243156	MICAL3	22	-	17787649	18024559	2.086166	605.335876	918.924927
ENSG00000093100	XXbac-B461K10.4	22	-	17787652	17811497	0.315807	13.205754	20.046881
ENSG00000207780	MIR648	22	-	17980868	17980961	0.000000	0.000000	0.000000
ENSG00000235445	XXbac-B476C20.14	22	-	17983205	17983619	2.451523	102.512642	155.618423
ENSG00000234913	XXbac-B476C20.13	22	-	18004270	18007308	0.608103	25.428373	38.601326
ENSG00000237446	RHEBP3	22	+	18019214	18020200	0.000000	0.000000	0.000000
ENSG00000197421	GGT3P	22	-	18773665	18843399	0.000000	0.000000	0.000000
ENSG00000239989	AC008132.14	22	-	18794414	18794804	0.000000	0.000000	0.000000
ENSG00000234764	E2F6P1	22	+	18833694	18834438	0.000000	0.000000	0.000000
ENSG00000280418	AC007326.10	22	-	18951934	18959512	0.019792	0.827620	1.256362
ENSG00000183628	DGCR6	22	+	18906028	18914238	2.294454	342.422668	519.811768
ENSG00000100033	PRODH	22	-	18912777	18936553	2.237890	406.731049	617.434509
ENSG00000241527	CA15P1	22	-	19031564	19034564	0.000000	0.000000	0.000000
ENSG00000237517	DGCR5	22	+	18970514	18994628	5.510406	289.070374	438.820801
ENSG00000283406	DGCR5	22	+	18970525	19031242	1.243571	52.001045	78.939728
ENSG00000283583	AC007326.12	22	-	18980695	18981325	0.000000	0.000000	0.000000
ENSG00000271275	AC007326.9	22	-	18997138	18997595	0.000000	0.000000	0.000000
ENSG00000283366	AC000095.12	22	+	18998274	19014786	2.101609	90.415764	137.254868
ENSG00000273032	DGCR9	22	+	19017834	19020248	2.968620	124.135521	188.442856
ENSG00000270393	AC000095.9	22	-	19018043	19018916	0.070691	2.956008	4.487342
ENSG00000273164	AC000095.11	22	+	19023056	19023550	1.050505	43.927814	66.684235
ENSG00000260924	LINC01311	22	+	19171395	19172839	0.102422	4.282868	6.501571
ENSG00000100056	DGCR14	22	-	19130279	19144684	1.394636	72.781494	110.485321
ENSG00000206203	TSSK2	22	+	19130808	19132623	0.000000	0.000000	0.000000
ENSG00000100075	SLC25A1	22	-	19175575	19178830	3.619751	200.670410	304.625977
ENSG00000070413	DGCR2	22	-	19036282	19122454	6.686797	536.048462	813.743774
ENSG00000206739	Y_RNA	22	+	19045256	19045367	0.000000	0.000000	0.000000
ENSG00000273311	DGCR11	22	-	19046162	19048375	0.771906	32.277946	48.999256
ENSG00000237347	AC004461.4	22	+	19055801	19056512	0.000000	0.000000	0.000000
ENSG00000281530	DGCR12	22	-	19061041	19061843	0.254047	10.623204	16.126463
