Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000224435	NF1P6	22	-	15622601	15632051	0.000000	0.000000	0.000000
ENSG00000225255	LINC01297	22	+	15746630	15778297	0.000000	0.000000	0.000000
ENSG00000235992	GRAMD4P2	22	-	15749156	15750825	0.000000	0.000000	0.000000
ENSG00000198062	POTEH	22	+	15690026	15721631	0.580394	18.331051	23.891369
ENSG00000236666	POTEH-AS1	22	-	15699361	15703403	0.000000	0.000000	0.000000
ENSG00000212216	RNU6-816P	22	+	15701459	15701565	0.000000	0.000000	0.000000
ENSG00000241838	LA16c-3G11.7	22	+	15721486	15722608	0.282418	7.363133	9.596577
ENSG00000239435	KCNMB3P1	22	-	16575363	16582707	0.000000	0.000000	0.000000
ENSG00000198445	CCT8L2	22	-	16590751	16592810	0.097087	2.531229	3.299021
ENSG00000206195	DUXAP8	22	+	15784959	15829984	7.132917	451.137329	587.979797
ENSG00000271127	LL22NC03-N64E9.1	22	+	15796959	15798346	1.871037	48.781219	63.577919
ENSG00000232775	BMS1P22	22	-	15805263	15820884	0.000000	0.000000	0.000000
ENSG00000272872	LL22NC03-N14H11.1	22	+	15823197	15823890	20.992796	547.319031	713.336121
ENSG00000271672	DUXAP8	22	+	15826566	15827187	0.908314	23.681339	30.864550
ENSG00000223875	NBEAP3	22	+	15852990	15893942	0.385131	10.041041	13.086768
ENSG00000215270	LA16c-60H5.7	22	-	15854195	15855243	0.000000	0.000000	0.000000
ENSG00000220248	ZNF402P	22	-	16857619	16860718	0.063548	1.656808	2.159364
ENSG00000237689	AC007064.24	22	+	16869478	16871126	0.692000	18.041655	23.514191
ENSG00000172967	XKR3	22	-	16783412	16821699	0.000000	0.000000	0.000000
ENSG00000100181	TPTEP1	22	+	16601887	16698742	1.023748	119.492378	155.737747
ENSG00000283633	AC005301.9	22	+	16601911	16615111	1.189044	60.223461	78.490913
ENSG00000267338	KB-7G2.9	22	+	16616170	16617114	0.787546	20.532705	26.760849
ENSG00000249288	SLC25A15P5	22	-	16645695	16646581	0.000000	0.000000	0.000000
ENSG00000249263	PARP4P3	22	-	16653892	16659628	0.000000	0.000000	0.000000
ENSG00000189295	ANKRD62P1-PARP4P3	22	-	16654066	16675540	0.000000	0.000000	0.000000
ENSG00000259271	ANKRD62P1	22	-	16671090	16679493	0.000000	0.000000	0.000000
ENSG00000273244	KB-7G2.8	22	-	16676016	16694648	0.000000	0.000000	0.000000
ENSG00000241717	VWFP1	22	-	16690103	16704477	0.000000	0.000000	0.000000
ENSG00000183307	CECR6	22	-	17116299	17121367	0.309529	8.257289	10.761956
ENSG00000069998	CECR5	22	-	17137511	17165287	4.283888	295.326111	384.906738
ENSG00000185837	CECR5-AS1	22	+	17159384	17165445	0.364865	17.706476	23.077343
ENSG00000093072	CECR1	22	-	17178790	17221989	1.081896	40.767857	53.133881
ENSG00000236325	AC005300.5	22	+	17192936	17193308	0.000000	0.000000	0.000000
ENSG00000203416	FAM32BP	22	+	17213516	17214155	0.000000	0.000000	0.000000
ENSG00000280156	AC006548.28	22	-	16950086	17034417	0.000000	0.000000	0.000000
ENSG00000215568	GAB4	22	-	16961936	17008222	0.000000	0.000000	0.000000
ENSG00000270226	AC006548.26	22	+	17012404	17012932	0.000000	0.000000	0.000000
ENSG00000276400	VN1R9P	22	-	17021398	17022570	0.000000	0.000000	0.000000
ENSG00000237438	CECR7	22	+	17036570	17060825	0.977768	45.252094	58.978313
ENSG00000273203	AC006946.16	22	+	17067821	17070675	0.185989	4.849060	6.319914
ENSG00000273442	AC006946.17	22	+	17080701	17081456	0.000000	0.000000	0.000000
ENSG00000177663	IL17RA	22	+	17084954	17115694	1.720673	47.096981	61.382809
ENSG00000235328	AC006946.12	22	-	17093612	17093939	0.000000	0.000000	0.000000
ENSG00000182902	SLC25A18	22	+	17563439	17590994	0.000000	0.000000	0.000000
ENSG00000236754	AC004019.13	22	-	17580157	17589192	0.000000	0.000000	0.000000
ENSG00000099954	CECR2	22	+	17359949	17558149	0.163537	52.208374	68.044624
ENSG00000229492	AC004019.10	22	+	17418697	17419828	0.000000	0.000000	0.000000
ENSG00000232305	CLCP1	22	-	17424388	17424775	0.000000	0.000000	0.000000
ENSG00000228045	DNAJA1P6	22	-	17518676	17519029	0.000000	0.000000	0.000000
ENSG00000269220	LINC00528	22	+	17777322	17779481	0.073148	1.907097	2.485572
